 2023-07-24 10:45:42,190 - 'f'
 2023-07-24 10:45:42,844 - 'd'
 2023-07-24 10:45:43,439 - 'f'
 2023-07-24 10:45:57,881 - Key.ctrl_l
 2023-07-24 10:45:57,938 - '\x03'
 2023-07-24 10:45:59,210 - Key.ctrl_l
 2023-07-24 10:45:59,282 - '\x03'
 2023-07-24 10:46:01,759 - Key.ctrl_l
 2023-07-24 10:46:01,825 - '\x03'
 2023-07-24 10:46:01,985 - '\x03'
 2023-07-24 10:46:04,962 - Key.ctrl_l
 2023-07-24 10:46:05,022 - '\x03'
 2023-07-24 10:46:05,217 - '\x03'
 2023-07-24 10:46:05,944 - '\x18'
 2023-07-24 10:46:06,136 - '\x18'
 2023-07-24 10:46:06,360 - '\x18'
 2023-07-24 10:46:06,548 - '\x03'
 2023-07-24 10:46:06,753 - '\x18'
 2023-07-24 10:46:06,865 - '\x1a'
 2023-07-24 10:46:07,020 - '\x18'
 2023-07-24 10:46:07,072 - '\x03'
 2023-07-24 10:46:07,207 - '\x1a'
 2023-07-24 10:46:07,297 - '\x18'
 2023-07-24 10:46:07,347 - '\x03'
 2023-07-24 10:46:07,462 - '\x1a'
 2023-07-24 10:46:07,530 - '\x18'
 2023-07-24 10:46:07,587 - '\x03'
 2023-07-24 10:46:07,699 - '\x1a'
 2023-07-24 10:46:07,763 - '\x18'
 2023-07-24 10:46:07,819 - '\x03'
 2023-07-24 10:46:08,141 - '\x03'
 2023-07-24 10:46:08,307 - '\x03'
 2023-07-24 10:46:08,459 - '\x03'
